brand;model;year;mileage
Kia;Sportage;2021;197902
Toyota;RAV4;2006;107474
BMW;5 Series;2011;178039
BMW;5 Series;2009;84645
Kia;Optima;2020;118504
Honda;Accord;2009;217224
Toyota;Camry;2002;118041
Audi;A4;2020;186962
Mercedes;GLA;2023;78961
Mercedes;GLA;2010;296156
Toyota;RAV4;2019;232074
Ford;Explorer;2001;38542
BMW;X5;2010;295058
Toyota;Camry;2013;262285
Ford;Explorer;2008;225838
Chevrolet;Equinox;2023;230795
Chevrolet;Malibu;2008;94729
Mercedes;C-Class;2022;282199
Audi;A3;2006;282423
Mercedes;C-Class;2004;191859
Ford;Fiesta;2004;256459
Kia;Sportage;2021;74107
Volkswagen;Golf;2019;230974
BMW;5 Series;2016;56150
Mercedes;C-Class;2010;256100
Volkswagen;Golf;2006;9512
Audi;A3;2011;80241
Audi;A4;2021;150713
Audi;Q5;2018;207019
Audi;A3;2023;163039
Toyota;Corolla;2000;145101
Ford;Focus;2016;278559
Hyundai;Elantra;2017;269154
Kia;Sportage;2010;62065
Audi;Q5;2023;52679
Toyota;Camry;2014;177766
Honda;Civic;2007;158154
Chevrolet;Impala;2021;52051
Toyota;Camry;2023;117049
Toyota;Camry;2000;271405
Hyundai;Sonata;2010;260006
Toyota;RAV4;2012;234785
Kia;Optima;2009;222076
Volkswagen;Passat;2002;194835
Ford;Focus;2013;145970
Ford;Fiesta;2011;30785
Audi;Q5;2015;57196
Kia;Sportage;2019;50680
Toyota;RAV4;2001;230052
Honda;Civic;2019;273193
Hyundai;Elantra;2003;169451
BMW;X5;2020;286174
Chevrolet;Malibu;2004;242712
Hyundai;Elantra;2014;227371
Kia;Optima;2002;79442
Toyota;Corolla;2005;29885
Volkswagen;Tiguan;2008;261478
Kia;Optima;2010;170847
BMW;X5;2001;87221
Mercedes;C-Class;2014;217980
Volkswagen;Passat;2010;71288
BMW;5 Series;2016;91092
Honda;Civic;2020;24913
Kia;Sportage;2000;155444
Mercedes;E-Class;2014;171683
Honda;CR-V;2015;295428
Volkswagen;Golf;2010;207380
Mercedes;C-Class;2012;89226
BMW;3 Series;2001;79217
Mercedes;E-Class;2010;297971
Ford;Fiesta;2011;178950
Audi;A3;2017;148880
Honda;Accord;2013;23936
Audi;Q5;2002;68076
Chevrolet;Malibu;2015;144743
Kia;Rio;2014;90279
Audi;A3;2018;56429
Audi;A3;2014;1197
Mercedes;C-Class;2021;200177
Chevrolet;Malibu;2022;5679
BMW;3 Series;2011;14586
Kia;Sportage;2001;202216
BMW;5 Series;2002;249673
Chevrolet;Impala;2011;39156
Volkswagen;Golf;2010;68014
Ford;Focus;2008;126868
Mercedes;E-Class;2010;258632
Ford;Fiesta;2021;201170
Audi;A3;2019;13569
BMW;3 Series;2020;191301
Kia;Sportage;2002;169424
BMW;X5;2010;63026
Chevrolet;Malibu;2001;145630
Audi;Q5;2003;44024
Audi;Q5;2022;122902
Audi;A3;2012;92692
Chevrolet;Equinox;2020;22360
Mercedes;E-Class;2018;53596
Honda;Accord;2000;45737
Kia;Sportage;2020;98160
Chevrolet;Impala;2018;253702
Ford;Explorer;2006;94715
Volkswagen;Passat;2005;1841
Kia;Optima;2021;109050
BMW;5 Series;2008;236894
Toyota;Corolla;2016;256691
Ford;Explorer;2006;235768
Mercedes;C-Class;2003;88089
Honda;CR-V;2007;160230
Mercedes;E-Class;2000;233776
Chevrolet;Equinox;2015;117006
Ford;Fiesta;2005;295379
Chevrolet;Impala;2019;299406
Ford;Explorer;2011;182197
Volkswagen;Tiguan;2015;235687
Volkswagen;Passat;2005;293339
Audi;A3;2008;79861
Mercedes;C-Class;2020;288000
Kia;Rio;2022;295898
Toyota;RAV4;2005;239287
Honda;CR-V;2016;7588
Volkswagen;Tiguan;2002;152117
Kia;Sportage;2019;195296
Chevrolet;Impala;2006;191716
Honda;CR-V;2000;230409
Honda;Civic;2014;106397
Volkswagen;Passat;2007;295514
Kia;Sportage;2001;232603
Mercedes;E-Class;2000;18150
Volkswagen;Passat;2000;222084
Toyota;Corolla;2016;59160
Chevrolet;Equinox;2016;73775
Mercedes;E-Class;2007;89733
Hyundai;Tucson;2002;11401
Chevrolet;Impala;2019;233465
Volkswagen;Golf;2016;240885
Mercedes;GLA;2006;25049
Chevrolet;Equinox;2003;110430
Hyundai;Elantra;2018;205909
Ford;Explorer;2011;161912
Mercedes;C-Class;2002;54815
Hyundai;Elantra;2019;128619
Honda;Civic;2019;121403
Toyota;Corolla;2019;253093
Chevrolet;Malibu;2022;97890
Toyota;Camry;2016;157466
Kia;Rio;2004;168226
Audi;A3;2009;275586
Ford;Focus;2015;50573
Volkswagen;Tiguan;2006;219205
Hyundai;Elantra;2008;1708
Kia;Rio;2012;244437
Kia;Sportage;2016;134097
Ford;Fiesta;2010;98700
Mercedes;E-Class;2018;78445
Chevrolet;Equinox;2001;93140
Hyundai;Elantra;2006;288209
Hyundai;Sonata;2009;282931
Volkswagen;Passat;2023;242006
Kia;Optima;2006;272450
Kia;Sportage;2002;54982
Chevrolet;Malibu;2003;53980
Ford;Explorer;2019;84291
Hyundai;Sonata;2002;264010
Audi;A3;2020;54068
Hyundai;Tucson;2002;253283
BMW;5 Series;2010;1666
Honda;Accord;2000;128713
Toyota;Camry;2004;155101
Volkswagen;Passat;2002;153222
BMW;3 Series;2004;140269
Toyota;Corolla;2022;48034
Honda;Accord;2007;197700
Ford;Focus;2020;130961
Volkswagen;Tiguan;2009;204370
Ford;Explorer;2005;103956
Chevrolet;Equinox;2004;86109
Kia;Sportage;2011;264104
Honda;Accord;2019;1068
Hyundai;Elantra;2004;202084
BMW;3 Series;2012;78159
Kia;Optima;2012;188249
Audi;A4;2021;252284
Mercedes;C-Class;2011;120010
Mercedes;GLA;2007;77167
Audi;Q5;2021;226346
Toyota;Camry;2014;35164
Ford;Explorer;2015;147409
Ford;Fiesta;2016;292131
Kia;Rio;2016;285860
Audi;A3;2005;112828
Audi;Q5;2023;225090
Volkswagen;Golf;2003;235804
Kia;Rio;2007;18622
Honda;Civic;2001;38814
Volkswagen;Golf;2001;64027
Kia;Rio;2013;155927
Honda;CR-V;2000;181019
Ford;Focus;2014;91618
Chevrolet;Equinox;2004;234638
Ford;Focus;2006;213796
Hyundai;Elantra;2008;242378
Kia;Optima;2015;68256
Honda;CR-V;2012;4608
Ford;Fiesta;2014;262198
Hyundai;Elantra;2014;203553
Audi;A4;2007;252417
Ford;Focus;2010;42902
Audi;A4;2020;116761
Mercedes;C-Class;2015;181326
Ford;Explorer;2008;286699
Toyota;RAV4;2013;149662
Volkswagen;Tiguan;2019;213300
Toyota;RAV4;2015;125458
Hyundai;Sonata;2011;61333
BMW;X5;2009;103338
Hyundai;Elantra;2019;44978
Honda;Accord;2002;119657
Ford;Explorer;2003;106537
Honda;Accord;2005;228351
Volkswagen;Golf;2000;156258
Mercedes;C-Class;2022;233628
Honda;Accord;2000;238272
Chevrolet;Malibu;2023;280794
Kia;Rio;2005;14058
Audi;A3;2018;274434
Chevrolet;Equinox;2015;60419
BMW;X5;2021;98604
Volkswagen;Golf;2023;133425
Hyundai;Tucson;2004;271816
Mercedes;GLA;2019;247451
Ford;Fiesta;2014;85892
Ford;Explorer;2006;252610
Audi;A4;2020;282883
BMW;5 Series;2020;109271
Mercedes;GLA;2018;119566
Ford;Focus;2009;54105
Honda;CR-V;2020;103185
Chevrolet;Impala;2010;227999
BMW;X5;2000;141537
Hyundai;Elantra;2022;250524
BMW;5 Series;2012;163543
Audi;A4;2021;283597
Kia;Rio;2021;79401
Ford;Fiesta;2007;125769
Hyundai;Sonata;2009;67077
Hyundai;Sonata;2007;76257
Ford;Focus;2010;220484
Toyota;Camry;2010;155338
Volkswagen;Tiguan;2006;135166
Ford;Fiesta;2009;22624
Audi;A3;2002;106780
Mercedes;C-Class;2017;40455
Ford;Explorer;2007;261935
Honda;CR-V;2015;164031
Mercedes;GLA;2018;108824
Honda;CR-V;2001;67506
